IDZonaManzana,IDZona,IDManzana,IDComuna
201006-2,53,705,4101
201007-0,53,705,4101
201008-9,53,705,4101
201009-7,53,705,4101
201010-0,53,733,4101
201011-9,53,733,4101
201012-7,53,733,4101
201013-5,53,733,4101
201014-3,53,733,4101
201015-1,53,733,4101
201016-K,53,733,4101
201017-8,53,733,4101
201018-6,53,733,4101
201019-4,53,733,4101
201020-8,53,733,4101
201021-6,53,733,4101
201022-4,53,733,4101
201023-2,53,733,4101
201024-0,53,733,4101
201025-9,53,733,4101
201026-7,53,761,4101
201027-5,53,761,4101
201028-3,53,761,4101
201029-1,53,761,4101
201030-5,53,761,4101
201031-3,53,761,4101
201032-1,53,761,4101
201033-K,53,761,4101
201034-8,53,761,4101
201035-6,53,761,4101
201036-4,53,761,4101
201037-2,53,761,4101
201038-0,53,761,4101
201039-9,53,761,4101
201040-2,53,761,4101
201041-0,53,761,4101
201042-9,53,761,4101
201043-7,53,761,4101
201044-5,53,761,4101
201045-3,53,761,4101
201046-1,53,761,4101
201047-K,53,761,4101
201048-8,53,761,4101
201049-6,53,761,4101
201050-K,53,761,4101
201051-8,53,761,4101
201052-6,53,761,4101
201053-4,53,761,4101
201054-2,53,761,4101
201055-0,53,761,4101
201056-9,53,761,4101
201057-7,53,761,4101
201058-5,53,777,4101
201059-3,53,777,4101
201060-7,53,777,4101
201061-5,53,777,4101
201062-3,53,777,4101
201063-1,53,777,4101
201064-K,53,777,4101
201065-8,53,777,4101
201066-6,53,777,4101
201067-4,53,777,4101
201068-2,53,777,4101
201069-0,53,777,4101
201070-4,53,777,4101
201071-2,53,777,4101
201072-0,53,777,4101
201073-9,53,777,4101
201074-7,53,777,4101
201075-5,53,777,4101
201076-3,53,777,4101
201077-1,53,777,4101
201078-K,53,777,4101
201079-8,53,777,4101
201080-1,53,777,4101
201081-K,53,777,4101
201082-8,53,777,4101
201083-6,53,777,4101
201084-4,53,777,4101
201085-2,53,777,4101
201086-0,53,777,4101
201087-9,53,777,4101
201088-7,53,777,4101
201089-5,53,777,4101
201090-9,53,777,4101
201091-7,53,777,4101
201092-5,53,777,4101
201093-3,53,777,4101
201094-1,53,2236,4101
201095-K,53,2236,4101
201096-8,53,2236,4101
201097-6,53,2236,4101
201098-4,53,2236,4101
201099-2,53,2236,4101
