IDFolio,Factor,DiaEncuesta,DiaEncuestaHogar
606393,18.998797447846844,Martes,2
606408,85.05280480948501,Martes,2
606499,36.60765651487291,Jueves,4
606500,36.60765651487291,Jueves,4
606508,79.88144787096319,Jueves,4
606529,27.07649298381657,Miércoles,3
606544,27.07649298381657,Martes,2
606545,24.25573869918983,Martes,2
606546,27.07649298381657,Martes,2
606651,152.01326200119337,Jueves,4
606665,32.02534288201309,Jueves,4
606740,127.71750445782016,Jueves,4
606748,36.60765651487291,Jueves,4
606749,32.02534288201309,Jueves,4
606750,27.07649298381657,Jueves,4
606753,27.07649298381657,Jueves,4
606765,36.60765651487291,Jueves,4
